Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_761,2.00E-71,Q498T4,mitochondrion; ribosome; structural constituent of ribosome; translation,"39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2)",Rattus norvegicus (Rat)
Pgenerosa-v1_contig_7611,4.00E-56,P23654,axon guidance; axonal fasciculation; basolateral plasma membrane; carboxylesterase activity; cell adhesion; central nervous system development; integral to membrane,Neurotactin,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_7612,9.00E-06,Q5ZMW6,nucleus,Nuclear protein MDM1,Gallus gallus (Chicken)
Pgenerosa-v1_contig_7616,0,Q8N157,Kupffer's vesicle development; TCTN-B9D complex; adherens junction; cell-cell junction; cellular protein localization; centriole; cilium assembly; cloaca development; heart looping; hindbrain development; left/right axis specification; microtubule basal body; morphogenesis of a polarized epithelium; negative regulation of apoptotic process; otic vesicle development; photoreceptor cell outer segment organization; positive regulation of polarized epithelial cell differentiation; positive regulation of receptor internalization; positive regulation of transcription from RNA polymerase II promoter; pronephric duct morphogenesis; pronephric nephron tubule morphogenesis; protein localization to organelle; regulation of behavior; retina layer formation; specification of axis polarity; transmembrane receptor protein tyrosine kinase signaling pathway; vesicle-mediated transport,Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1),Homo sapiens (Human)
Pgenerosa-v1_contig_7617,5.00E-82,O43663,cytokinesis; cytoplasm; mitotic spindle elongation; nucleus; plasma membrane; spindle microtubule; spindle pole,Protein regulator of cytokinesis 1,Homo sapiens (Human)
Pgenerosa-v1_contig_7619,3.00E-06,Q53H47,"DNA catabolic process, endonucleolytic; DNA double-strand break processing; DNA integration; chromosome; endonuclease activity; histone-lysine N-methyltransferase activity; negative regulation of cell cycle arrest; negative regulation of chromosome organization; nucleus; positive regulation of double-strand break repair via nonhomologous end joining; structure-specific DNA binding; transposase activity; transposition, DNA-mediated; zinc ion binding",Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion gene-containing protein) (HsMar1) (Metnase) [Includes: Histone-lysine N-methyltransferase (EC 2.1.1.43); Mariner transposase Hsmar1 (EC 3.1.-.-)],Homo sapiens (Human)
Pgenerosa-v1_contig_762,0,Q80X90,Z disc; cell cortex; cytoplasm; focal adhesion; skeletal muscle tissue development; stress fiber,Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin),Mus musculus (Mouse)
Pgenerosa-v1_contig_7623,5.00E-32,Q9Y2L5,ER to Golgi vesicle-mediated transport; Golgi apparatus; cis-Golgi network,Trafficking protein particle complex subunit 8 (Protein TRS85 homolog),Homo sapiens (Human)
Pgenerosa-v1_contig_7624,3.00E-33,Q5RAH0,Golgi apparatus; endomembrane system; integral to membrane; transport,Lysosomal-associated transmembrane protein 4A,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_7631,1.00E-90,Q5U3U3,carnitine O-palmitoyltransferase activity; fatty acid beta-oxidation; mitochondrial inner membrane; transport,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)",Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7632,1.00E-45,Q95SX7,"RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity; transposition, DNA-mediated",Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_7633,5.00E-98,P10515,acetyl-CoA biosynthetic process; dihydrolipoyllysine-residue acetyltransferase activity; glucose metabolic process; mitochondrial pyruvate dehydrogenase complex; pyruvate metabolic process; regulation of acetyl-CoA biosynthetic process from pyruvate; tricarboxylic acid cycle,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)",Homo sapiens (Human)
Pgenerosa-v1_contig_7638,8.00E-79,Q29491,aldehyde dehydrogenase (NAD) activity; cytoplasm; ethanol catabolic process,"Aldehyde dehydrogenase, cytosolic 2 (EC 1.2.1.3) (ALDH class 1) (ALDH1-NL) (Non-lens ALDH1) (Fragment)",Macroscelides proboscideus (Short-eared elephant shrew)
Pgenerosa-v1_contig_7641,1.00E-75,Q8NI08,"cell wall macromolecule catabolic process; intracellular; ligand-dependent nuclear receptor transcription coactivator activity; nuclear hormone receptor binding; nucleus; positive regulation of transcription from RNA polymerase II promoter; transcription, DNA-dependent",Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1),Homo sapiens (Human)
Pgenerosa-v1_contig_7646,5.00E-43,P0CB97,"4 iron, 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; metal ion binding; mitochondrial respiratory chain complex I; mitochondrial respiratory chain complex I assembly; response to oxidative stress","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_7647,4.00E-50,Q9CZV5,"STAGA complex; histone H3 acetylation; histone acetyltransferase activity; maintenance of protein location in nucleus; regulation of transcription, DNA-dependent; transcription coactivator activity; transcription, DNA-dependent",STAGA complex 65 subunit gamma (SPTF-associated factor 65 gamma) (STAF65gamma) (Suppressor of Ty 7-like),Mus musculus (Mouse)
Pgenerosa-v1_contig_765,0,Q4GZT3,"JAK-STAT cascade; aorta development; basal cortex; basal plasma membrane; branching involved in ureteric bud morphogenesis; calcium channel activity; calcium ion binding; calcium-induced calcium release activity; cell cycle arrest; cell-cell junction; cellular response to fluid shear stress; cellular response to hydrostatic pressure; cellular response to osmotic stress; cytoplasmic sequestering of transcription factor; detection of mechanical stimulus; detection of nodal flow; determination of liver left/right asymmetry; embryonic placenta development; filamentous actin; heart looping; integral to cytosolic side of endoplasmic reticulum membrane; integral to lumenal side of endoplasmic reticulum membrane; integral to plasma membrane; lamellipodium; membrane; mesonephric duct development; metanephric S-shaped body morphogenesis; metanephric ascending thin limb development; metanephric cortex development; metanephric cortical collecting duct development; metanephric distal tubule development; metanephric mesenchyme development; metanephric part of ureteric bud development; metanephric smooth muscle tissue development; microtubule basal body; mitotic spindle; motile primary cilium; negative regulation of G1/S transition of mitotic cell cycle; negative regulation of ryanodine-sensitive calcium-release channel activity; neural tube development; nonmotile primary cilium; placenta blood vessel development; polycystin complex; positive regulation of cell cycle arrest; positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity; positive regulation of nitric oxide biosynthetic process; positive regulation of transcription from RNA polymerase II promoter; potassium channel activity; regulation of cAMP metabolic process; regulation of calcium ion import; regulation of cell proliferation; release of sequestered calcium ion into cytosol; renal artery morphogenesis; renal tubule morphogenesis; spinal cord development; voltage-gated calcium channel activity; voltage-gated sodium channel activity",Polycystin-2 (Polycystic kidney disease 2 protein homolog),Bos taurus (Bovine)
Pgenerosa-v1_contig_7655,4.00E-113,P98203,calcium-dependent cell-cell adhesion; cytoplasm; nucleus; plasma membrane,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,Mus musculus (Mouse)
Pgenerosa-v1_contig_7656,7.00E-179,Q5F3D7,cytoplasm; nucleolus; rRNA processing,U3 small nucleolar RNA-associated protein 15 homolog,Gallus gallus (Chicken)
Pgenerosa-v1_contig_7657,1.00E-124,Q68F50,cytoplasm; cytoskeleton,Twinfilin-1,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_7658,4.00E-10,B8DBZ5,menaquinone biosynthetic process; methyltransferase activity,Demethylmenaquinone methyltransferase (EC 2.1.1.163) (Menaquinone biosynthesis C-methyltransferase UbiE),Listeria monocytogenes serotype 4a (strain HCC23)
Pgenerosa-v1_contig_7661,1.00E-138,Q6PB03,NAPE-specific phospholipase D activity; endoplasmic reticulum membrane; integral to membrane; lipid catabolic process; phospholipase D activity,Phospholipase D3 (PLD 3) (EC 3.1.4.4) (Choline phosphatase 3) (Phosphatidylcholine-hydrolyzing phospholipase D3),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_7662,8.00E-125,Q91880,RNA polymerase II core promoter proximal region sequence-specific DNA binding; RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity; cytoplasm; multicellular organismal development; nucleus; positive regulation of transcription of Notch receptor target,Suppressor of hairless protein homolog (X-Su(H)),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_7669,5.00E-62,Q8BVG4,aminopeptidase activity; cytosol; membrane; proteolysis; serine-type peptidase activity,Dipeptidyl peptidase 9 (DP9) (EC 3.4.14.5) (Dipeptidyl peptidase IX) (DPP IX) (Dipeptidyl peptidase-like protein 9) (DPLP9),Mus musculus (Mouse)
Pgenerosa-v1_contig_7672,9.00E-09,O14594,Golgi lumen; axon guidance; calcium ion binding; carbohydrate binding; carbohydrate metabolic process; cell adhesion; chondroitin sulfate biosynthetic process; chondroitin sulfate catabolic process; dermatan sulfate biosynthetic process; extracellular matrix organization; extracellular region; hyaluronic acid binding; lysosomal lumen; regulation of synapse structural plasticity,Neurocan core protein (Chondroitin sulfate proteoglycan 3),Homo sapiens (Human)
Pgenerosa-v1_contig_7674,8.00E-61,E1C1R4,base-excision repair; cytoplasm; monoubiquitinated protein deubiquitination; ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process; ubiquitin-specific protease activity,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),Gallus gallus (Chicken)
Pgenerosa-v1_contig_7684,5.00E-49,O54714,"SUMO ligase activity; cytoplasm; dendrite; nucleic acid binding; nucleus; positive regulation of gene expression; positive regulation of membrane potential; positive regulation of protein sumoylation; potassium channel regulator activity; protein sumoylation; regulation of transcription, DNA-dependent; response to hormone stimulus; synapse; transcription, DNA-dependent; zinc ion binding",E3 SUMO-protein ligase PIAS3 (EC 6.3.2.-) (Protein inhibitor of activated STAT protein 3),Mus musculus (Mouse)
Pgenerosa-v1_contig_7686,3.00E-09,Q9JLB4,Golgi apparatus; apical plasma membrane; brush border; calcium ion binding; cholesterol metabolic process; coated pit; cobalamin binding; endocytic vesicle; endoplasmic reticulum; endosome; endosome membrane; lipoprotein transport; lysosomal membrane; receptor activity; receptor-mediated endocytosis,Cubilin (Intrinsic factor-cobalamin receptor),Mus musculus (Mouse)
Pgenerosa-v1_contig_7689,1.00E-33,Q03017,Toll signaling pathway; antifungal humoral response; cytoplasm; cytoplasmic sequestering of transcription factor; dorsal appendage formation; dorsal/ventral axis specification; hemopoiesis; innate immune response; nervous system development; neuromuscular junction; phagocytosis; positive regulation of antifungal peptide biosynthetic process; response to DNA damage stimulus; transcription factor binding,NF-kappa-B inhibitor cactus,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_7690,0,Q60972,"CAF-1 complex; DNA replication; DNA-dependent ATPase activity; ESC/E(Z) complex; NURF complex; NuRD complex; cell cycle; chromatin assembly; chromatin remodeling; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48),Mus musculus (Mouse)
Pgenerosa-v1_contig_7691,1.00E-67,Q13686,DNA dealkylation involved in DNA repair; DNA demethylation; DNA-(apurinic or apyrimidinic site) lyase activity; RNA repair; chemoattractant activity; developmental growth; ferrous iron binding; in utero embryonic development; methylcytosine dioxygenase activity; mitochondrion; negative regulation of neuron apoptotic process; neuron migration; neuron projection development; nuclear euchromatin; oxidative demethylation; placenta development,Alkylated DNA repair protein alkB homolog 1 (EC 1.14.11.33) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1),Homo sapiens (Human)
Pgenerosa-v1_contig_7692,2.00E-74,Q9BXW7,mitochondrion,Cat eye syndrome critical region protein 5,Homo sapiens (Human)
Pgenerosa-v1_contig_7694,6.00E-46,A6QLU6,G-protein coupled receptor activity; integral to membrane; neuropeptide signaling pathway; plasma membrane,Probable G-protein coupled receptor 133,Bos taurus (Bovine)
Pgenerosa-v1_contig_7697,2.00E-78,P11503,ATP binding; response to stress,Heat shock 70 kDa protein (HSP70) (Fragment),Onchocerca volvulus
Pgenerosa-v1_contig_77,3.00E-127,Q6DRC3,,Uncharacterized protein C21orf59 homolog,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_7700,2.00E-41,Q9JIM1,apical plasma membrane; basolateral plasma membrane; integral to membrane; nucleoside transmembrane transporter activity; nucleoside transport,"Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)",Mus musculus (Mouse)
Pgenerosa-v1_contig_7701,0,Q5RAJ5,ATP binding; cilium assembly; cytoplasm; metal ion binding; nucleus; positive regulation of hh target transcription factor activity; positive regulation of smoothened signaling pathway; post-embryonic development; protein serine/threonine kinase activity; transcription factor binding,Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Pgenerosa-v1_contig_7702,4.00E-10,P43425,G-protein coupled receptor signaling pathway; heterotrimeric G-protein complex; regulation of adenylate cyclase activity; signal transducer activity,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,Rattus norvegicus (Rat)
Pgenerosa-v1_contig_7704,3.00E-87,Q8AV28,centriolar satellite; cilium assembly,Pericentriolar material 1 protein (PCM-1),Gallus gallus (Chicken)
Pgenerosa-v1_contig_7706,3.00E-94,Q86WA6,cellular amino acid metabolic process; hydrolase activity; mitochondrion; response to toxic substance,Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA),Homo sapiens (Human)
Pgenerosa-v1_contig_7710,4.00E-66,Q8WZ42,ATP binding; Golgi apparatus; M band; Z disc; actin filament binding; actinin binding; adult heart development; calcium ion binding; calmodulin binding; cardiac muscle contraction; cardiac muscle fiber development; cardiac muscle hypertrophy; cardiac muscle tissue morphogenesis; cardiac myofibril assembly; condensed nuclear chromosome; cytosol; detection of muscle stretch; extracellular region; forward locomotion; in utero embryonic development; mitotic chromosome condensation; muscle filament sliding; peptidyl-tyrosine phosphorylation; platelet activation; platelet degranulation; protein self-association; protein serine/threonine kinase activity; protein tyrosine kinase activity; regulation of protein kinase activity; response to calcium ion; sarcomere organization; sarcomerogenesis; skeletal muscle myosin thick filament assembly; skeletal muscle thin filament assembly; striated muscle thin filament; structural constituent of muscle; structural molecule activity conferring elasticity; telethonin binding,Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14),Homo sapiens (Human)
